region;inst_name;inst_type;province;location;designation
03 - Central Luzon;Bulacan State University-San Rafael Campus;SUC;Bulacan;San Rafael;Municipality
03 - Central Luzon;Rosebelle Colleges;Private;Tarlac;Victoria;Municipality
03 - Central Luzon;Divine Grace Colleges of Pampanga;Private;Pampanga;Mabalacat City;Municipality
03 - Central Luzon;DPR Aviation College;Private;Bulacan;Plaridel;Municipality
03 - Central Luzon;Dingalan Community College;LUC;Aurora;Dingalan;Municipality
03 - Central Luzon;Colegio De San Leonardo;LUC;Nueva Ecija;San Leonardo;Municipality
03 - Central Luzon;"Santiago""Santy"" R. Austria College"";LUC;""Nueva Ecija";Jaen;Municipality;;
03 - Central Luzon;Colegio de Masinloc;LUC;Zambales;Masinloc;Municipality
03 - Central Luzon;Holy Trinity College of Technology;Private;Tarlac;Paniqui;Municipality
03 - Central Luzon;Martinet School of Business Education and Technology;Private;Tarlac;City of Tarlac;City
